"Labour force characteristics by industry, annual (x 1,000) 1 2"
"Frequency: Annual"
"Table: 14-10-0023-01 (formerly CANSIM 282-0008)"
"Release date: 2024-01-05"
"Geography: Canada, Province or territory"
""
""

"Geography 3","Canada",,,,
"Labour force characteristics","Employment 4",,,,
"Sex","Both sexes",,,,
"Age group","15 years and over",,,,
"North American Industry Classification System (NAICS) 5","2019","2020","2021","2022","2023"
,"Persons",,,,
"Total, all industries 6","19,121.2","18,043.8","18,942.3","19,693.0","20,170.9"
"Goods-producing sector 7","3,984.8","3,796.8","3,921.1","4,072.1","4,132.1"
"Agriculture 8","294.0","279.7","258.5","257.3","256.4"
"Forestry, fishing, mining, quarrying, oil and gas 9 10","332.4","306.9","325.7","328.5","326.4"
"Forestry and logging and support activities for forestry","46.8","50.0","48.2","46.0","37.1"
"Fishing, hunting and trapping","17.0","18.9","18.6","16.5","15.1"
"Mining, quarrying, and oil and gas extraction 9","268.6","238.0","258.8","266.0","274.3"
"Utilities","134.3","133.0","137.7","148.3","154.9"
"Construction","1,473.9","1,407.7","1,451.5","1,552.9","1,582.5"
"Manufacturing","1,750.2","1,669.4","1,747.8","1,785.1","1,811.9"
"Durables","1,052.6","989.7","1,036.0","1,062.8","1,101.5"
"Non-durables","697.6","679.7","711.7","722.4","710.4"
"Services-producing sector 11","15,136.3","14,247.0","15,021.2","15,620.8","16,038.8"
"Wholesale and retail trade","2,937.8","2,761.3","2,888.4","2,984.7","2,971.7"
"Wholesale trade","662.6","631.4","653.1","685.2","690.1"
"Retail trade","2,275.1","2,129.9","2,235.3","2,299.5","2,281.6"
"Transportation and warehousing","1,030.9","942.7","985.5","981.4","1,024.8"
"Finance, insurance, real estate, rental and leasing","1,239.2","1,240.8","1,325.9","1,367.7","1,387.5"
"Finance and insurance","871.8","915.4","967.5","998.5","1,020.9"
"Real estate and rental and leasing","367.4","325.4","358.4","369.2","366.6"
"Professional, scientific and technical services","1,557.7","1,561.8","1,689.2","1,809.7","1,875.0"
"Business, building and other support services 12","763.5","686.8","680.4","693.6","691.6"
"Educational services","1,330.5","1,318.2","1,448.7","1,471.1","1,495.2"
"Health care and social assistance","2,476.9","2,402.5","2,519.6","2,603.7","2,666.7"
"Information, culture and recreation","779.9","676.8","717.1","808.6","847.6"
"Accommodation and food services","1,219.8","945.7","967.7","1,049.6","1,128.5"
"Other services (except public administration)","790.7","704.4","717.4","714.7","767.0"
"Public administration","1,009.4","1,006.0","1,081.4","1,136.1","1,183.1"
"Unclassified industries 13","..","..","..","..",".."

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are supressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,"Starting in 2006, enhancements to the Labour Force Survey data processing system may have introduced a level shift in some estimates, particularly for less common labour force characteristics. Use caution when comparing estimates before and after 2006. For more information, contact statcan.labour-travail.statcan@statcan.gc.ca"
3,"Excluding the territories."
4,"Number of persons who, during the reference week, worked for pay or profit, or performed unpaid family work or had a job but were not at work due to own illness or disability, personal or family responsibilities, labour dispute, vacation, or other reason. Those persons on layoff and persons without work but who had a job to start at a definite date in the future are not considered employed. Estimates in thousands, rounded to the nearest hundred."
5,"Industry refers to the general nature of the business carried out by the employer for whom the respondent works (main job only). If the individual did not have a job during the reference week, the data relate to the previous job, if that job was held in the past year. Those unemployed persons who have never worked before and those persons who last worked more than 1 year ago make up the "unclassified" category in this table. In January 1999, the industry classification switched from Standard Industrial Classification (SIC 1980) to North American Industrial Classification System (NAICS), which was quite different. For this reason, detailed historical data based on NAICS is provided going back to January 1987. In addition, data from 1976 to 1986 is provided at a less detailed level than the more recent data. Historical data have been created by imputation. From 1976 to 1986, estimates are based on 2002 NAICS. From 1987 onwards, industry estimates are based on the 2017 North American Industry Classification System (NAICS)."
6,"This combines the North American Industry Classification System (NAICS) codes 11 to 91."
7,"This combines the North American Industry Classification System (NAICS) codes 11 to 33."
8,"Labour Force Survey (LFS) North American Industry Classification System (NAICS) code exception: add group 1100 - Farming - not elsewhere classified (nec). When the type of farm activity cannot be distinguished between crop and livestock, (example: mixed farming)."
9,"Labour Force Survey (LFS) North American Industry Classification System (NAICS) code exception: add group 2100 - Mining - not elsewhere classified (nec). Whenever the type of mining activity cannot be distinguished."
10,"Also referred to as Natural resources."
11,"This combines the North American Industry Classification System (NAICS) codes 41 to 91."
12,"Formerly "Management of companies and administrative and other support services"."
13,"Unemployed persons who have never worked before, and those unemployed persons who last worked more than 1 year ago."



"How to cite: Statistics Canada. Table 14-10-0023-01  Labour force characteristics by industry, annual (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410002301
