"Job vacancies, payroll employees, and job vacancy rate by provinces and territories, monthly, unadjusted for seasonality 1 2 3"
"Frequency: Monthly"
"Table: 14-10-0371-01"
"Release date: 2024-08-29"
"Geography: Canada, Province or territory"
""
""

"Geography","Statistics","February 2024","March 2024","April 2024","May 2024","June 2024"
"Canada",,"Number",,,,
,"Job vacancies 4","588,470A","595,090A","604,840A","596,895A","590,330A"
,"Payroll employees 5 6","16,890,245A","16,913,170A","16,997,070A","17,082,290A","17,399,530A"
,,"Percent",,,,
,"Job vacancy rate 7","3.4A","3.4A","3.4A","3.4A","3.3A"
"Newfoundland and Labrador",,"Number",,,,
,"Job vacancies 4","4,420C","3,520C","5,695C","6,085D","7,300C"
,"Payroll employees 5 6","199,135A","182,080A","184,035A","208,665A","202,755A"
,,"Percent",,,,
,"Job vacancy rate 7","2.2C","1.9C","3.0C","2.8D","3.5C"
"Prince Edward Island",,"Number",,,,
,"Job vacancies 4","1,270D","2,875C","2,085D","2,375D","3,850D"
,"Payroll employees 5 6","64,380A","64,020A","64,080A","67,175A","73,635A"
,,"Percent",,,,
,"Job vacancy rate 7","1.9D","4.3C","3.2D","3.4D","5.0D"
"Nova Scotia",,"Number",,,,
,"Job vacancies 4","14,745B","15,340B","14,950B","17,330C","15,875B"
,"Payroll employees 5 6","439,900A","422,030A","438,555A","456,955A","439,915A"
,,"Percent",,,,
,"Job vacancy rate 7","3.2B","3.5B","3.3B","3.7C","3.5B"
"New Brunswick",,"Number",,,,
,"Job vacancies 4","8,605B","10,035C","12,000B","9,575C","12,275B"
,"Payroll employees 5 6","305,145A","312,180A","299,755A","291,430A","343,575A"
,,"Percent",,,,
,"Job vacancy rate 7","2.7B","3.1C","3.8B","3.2C","3.4B"
"Quebec",,"Number",,,,
,"Job vacancies 4","131,095A","132,910A","134,625A","130,735A","125,685A"
,"Payroll employees 5 6","3,728,255A","3,801,145A","3,797,435A","3,809,815A","3,890,620A"
,,"Percent",,,,
,"Job vacancy rate 7","3.4A","3.4A","3.4A","3.3A","3.1A"
"Ontario",,"Number",,,,
,"Job vacancies 4","211,705A","212,545A","213,620A","204,180A","199,840A"
,"Payroll employees 5 6","6,600,865A","6,578,980A","6,621,745A","6,649,575A","6,747,775A"
,,"Percent",,,,
,"Job vacancy rate 7","3.1A","3.1A","3.1A","3.0A","2.9A"
"Manitoba",,"Number",,,,
